task_id,code_of_stage,date_time_send,next_stage
310210,stage1,2023-10-17 - 10:25,stage2
310210,stage2,2023-10-31 - 09:39,Rejected
310212,stage1,2023-10-10 - 14:18,stage2
310212,stage2,2023-09-24 - 09:02,Rejected
310212,stage1,2023-10-20 - 16:28,stage2
310212,stage2,2023-09-29 - 09:07,stage3
310513,stage1,2023-06-09 - 12:19,stage2
310513,stage2,2023-06-13 - 12:23,stage3
310513,stage3,2023-09-09 - 08:49,Rejected
310513,stage1,2023-10-17 - 15:25,stage2
310513,stage2,2023-10-15 - 15:23,stage3
310513,stage3,2023-10-11 - 05:19,stage4
310531,stage1,2023-06-18 - 12:28,stage2
310531,stage2,2023-06-22 - 12:32,stage3
310531,stage3,2023-05-31 - 09:10,stage4
310531,stage4,2023-08-16 - 07:56,Rejected
310531,stage1,2023-07-28 - 21:37,stage2
310531,stage2,2023-08-15 - 06:55,stage3
310531,stage3,2023-09-04 - 11:44,Rejected
310531,stage1,2023-10-08 - 21:47,stage2
310531,stage2,2023-10-13 - 01:52,stage3
310531,stage3,2023-09-13 - 10:22,Rejected
310531,stage1,2023-10-06 - 10:45,stage2
310531,stage2,2023-10-07 - 10:46,stage3
310531,stage3,2023-10-09 - 10:48,stage4
310531,stage4,2023-10-03 - 21:42,stage5
310531,stage5,2023-09-24 - 08:02,stage6
310531,stage6,2023-10-06 - 13:14,stage7
310531,stage7,2023-10-10 - 15:18,Rejected
310649,stage1,2023-11-04 - 12:43,stage2
310649,stage2,2023-11-09 - 10:48,Rejected
310649,stage1,2023-10-24 - 10:32,stage2
310649,stage2,2023-10-27 - 11:35,Rejected
310651,stage1,2023-11-03 - 12:42,stage2
310651,stage2,2023-11-09 - 10:48,Rejected
310711,stage1,2023-07-15 - 11:24,stage2
310711,stage2,2023-08-19 - 09:59,stage3
310711,stage3,2023-08-04 - 07:13,Rejected
310782,stage1,2023-07-18 - 12:27,stage2
310782,stage2,2023-07-21 - 13:30,Rejected
310782,stage1,2023-07-12 - 11:21,stage2
310782,stage2,2023-08-19 - 09:59,stage3
310782,stage3,2023-08-03 - 07:12,Rejected
310782,stage1,2023-09-14 - 23:23,stage2
310782,stage2,2023-09-17 - 10:26,stage3
310782,stage3,2023-11-02 - 09:41,Rejected
310782,stage1,2023-10-25 - 10:33,stage2
310782,stage2,2023-11-11 - 10:50,stage3
310782,stage3,2023-09-30 - 12:08,Rejected
310782,stage1,2023-10-04 - 11:12,stage2
310782,stage2,2023-10-10 - 11:18,stage3
310782,stage3,2023-10-04 - 12:12,stage4
310979,stage1,2023-05-06 - 14:16,stage2
310979,stage2,2023-06-23 - 12:33,stage3
310979,stage3,2023-08-03 - 07:12,Rejected
310979,stage1,2023-08-24 - 07:33,stage2
310979,stage2,2023-10-11 - 07:50,stage3
310979,stage3,2023-09-01 - 07:10,Rejected
310979,stage1,2023-10-07 - 07:46,stage2
310979,stage2,2023-10-19 - 07:58,stage3
310979,stage3,2023-09-09 - 09:18,Rejected
310979,stage1,2023-09-04 - 07:13,stage2
310979,stage2,2023-10-20 - 13:59,stage3
310979,stage3,2023-10-20 - 16:59,stage4
310979,stage4,2023-10-20 - 18:28,stage5
310979,stage5,2023-11-19 - 13:58,stage6
310979,stage6,2023-09-28 - 16:06,stage7
310979,stage7,2023-10-08 - 16:16,stage8
311033,stage1,2023-10-10 - 20:18,stage2
311033,stage1,2023-10-08 - 20:16,stage2
311321,stage1,2023-06-24 - 22:34,stage2
311321,stage2,2023-05-25 - 09:04,stage3
311321,stage3,2023-09-10 - 08:50,Rejected
311321,stage1,2023-08-19 - 22:28,stage2
311321,stage2,2023-07-26 - 08:04,Rejected
311321,stage1,2023-07-30 - 17:08,stage2
311321,stage2,2023-08-06 - 10:15,Rejected
311321,stage1,2023-08-30 - 10:39,stage2
311321,stage2,2023-09-02 - 12:11,stage3
311321,stage3,2023-10-12 - 10:51,Rejected
311321,stage1,2023-10-05 - 14:44,stage2
311321,stage2,2023-09-30 - 11:39,stage3
311321,stage3,2023-10-01 - 14:40,stage4
311321,stage4,2023-10-14 - 16:22,stage5
311321,stage5,2023-09-27 - 11:05,stage6
311321,stage6,2023-10-04 - 10:12,stage7
311321,stage7,2023-09-24 - 13:02,stage8
311623,stage1,2023-10-24 - 13:32,stage2
311623,stage2,2023-11-05 - 07:44,Rejected
311623,stage1,2023-10-08 - 15:16,stage2
311646,stage1,2023-10-05 - 08:13,stage2
311646,stage2,2023-10-14 - 08:22,Rejected
311646,stage1,2023-10-14 - 11:22,stage2
311646,stage2,2023-11-01 - 12:40,Rejected
311646,stage1,2023-09-28 - 13:06,stage2
311646,stage2,2023-10-06 - 13:14,Rejected
311940,stage1,2023-07-11 - 07:51,stage2
311940,stage2,2023-09-09 - 07:49,Rejected
311940,stage1,2023-09-05 - 06:45,stage2
311940,stage2,2023-10-17 - 07:56,Rejected
311940,stage1,2023-09-10 - 08:19,stage2
311940,stage2,2023-10-20 - 13:59,stage3
312079,stage1,2023-04-27 - 17:07,stage2
312079,stage2,2023-04-25 - 16:05,stage3
312079,stage3,2023-07-10 - 13:50,Rejected
312079,stage1,2023-07-03 - 22:12,stage2
312079,stage2,2023-07-16 - 09:25,stage3
312079,stage3,2023-07-14 - 08:23,stage4
312079,stage4,2023-07-02 - 08:11,Rejected
312079,stage1,2023-08-07 - 10:16,stage2
312079,stage2,2023-08-11 - 10:20,Rejected
312079,stage1,2023-07-28 - 13:06,stage2
312079,stage2,2023-09-12 - 10:52,Rejected
312079,stage1,2023-08-13 - 11:22,stage2
312079,stage2,2023-08-16 - 13:25,stage3
312079,stage3,2023-10-18 - 21:57,stage4
312079,stage4,2023-10-13 - 13:52,Rejected
312079,stage1,2023-09-22 - 11:00,stage2
312079,stage2,2023-10-20 - 11:28,stage3
312079,stage3,2023-11-11 - 15:50,stage4
312079,stage4,2023-10-19 - 19:27,stage5
312079,stage5,2023-11-09 - 20:48,stage6
312188,stage1,2023-08-03 - 10:12,stage2
312188,stage2,2023-10-27 - 14:35,Rejected
312332,stage1,2023-06-07 - 18:48,stage2
312332,stage2,2023-05-23 - 10:02,stage3
312332,stage3,2023-07-18 - 11:27,Rejected
312332,stage1,2023-08-24 - 11:33,stage2
312332,stage2,2023-09-18 - 08:58,Rejected
312332,stage1,2023-08-08 - 14:17,stage2
312332,stage2,2023-09-09 - 10:18,stage3
312332,stage3,2023-08-23 - 15:01,Rejected
312396,stage1,2023-09-13 - 12:53,stage2
312396,stage2,2023-10-26 - 14:34,Rejected
312442,stage1,2023-10-15 - 11:54,stage2
312442,stage2,2023-09-26 - 07:35,Rejected
312442,stage1,2023-09-24 - 14:02,stage2
312442,stage2,2023-10-09 - 11:17,Rejected
312442,stage1,2023-10-04 - 08:12,stage2
312442,stage2,2023-11-12 - 16:51,Rejected
312739,stage1,2023-07-31 - 09:09,stage2
312739,stage2,2023-10-18 - 14:57,Rejected
312739,stage1,2023-09-07 - 19:16,stage2
312739,stage2,2023-10-01 - 08:40,Rejected
312739,stage1,2023-08-22 - 13:00,stage2
312739,stage2,2023-10-10 - 09:49,stage3
312739,stage3,2023-11-15 - 08:54,Rejected
312739,stage1,2023-11-03 - 14:42,stage2
312739,stage2,2023-10-21 - 15:29,stage3
312932,stage1,2023-09-26 - 14:35,stage2
312944,stage1,2023-09-13 - 10:22,stage2
312944,stage2,2023-10-20 - 10:28,Rejected
313053,stage1,2023-07-22 - 12:00,stage2
313053,stage2,2023-10-27 - 11:35,Rejected
313226,stage1,2023-06-21 - 16:00,stage2
313293,stage1,2023-08-22 - 14:00,stage2
313293,stage2,2023-09-19 - 14:28,Rejected
313293,stage1,2023-08-02 - 09:42,stage2
313293,stage2,2023-09-15 - 09:55,Rejected
313293,stage1,2023-10-18 - 15:57,stage2
313293,stage2,2023-09-02 - 09:11,Rejected
313293,stage1,2023-09-01 - 14:10,stage2
313293,stage2,2023-09-03 - 16:12,Rejected
313293,stage1,2023-09-26 - 10:35,stage2
313293,stage2,2023-09-29 - 10:38,Rejected
313293,stage1,2023-09-15 - 09:24,stage2
313293,stage2,2023-10-12 - 14:20,Rejected
313293,stage1,2023-11-17 - 15:56,stage2
313293,stage2,2023-11-14 - 13:53,Rejected
313504,stage1,2023-08-06 - 13:46,stage2
313504,stage2,2023-08-16 - 13:56,Rejected
313504,stage1,2023-11-05 - 15:44,stage2
313571,stage1,2023-10-03 - 13:42,stage2
313571,stage2,2023-09-03 - 14:12,Rejected
313571,stage1,2023-09-23 - 22:32,stage2
313571,stage2,2023-11-08 - 15:47,Rejected
313571,stage1,2023-11-02 - 09:41,stage2
313640,stage1,2023-09-10 - 22:50,stage2
313640,stage2,2023-08-12 - 11:21,stage3
313640,stage3,2023-08-23 - 08:01,stage4
313762,stage1,2023-10-03 - 11:42,stage2
313762,stage2,2023-10-05 - 11:44,stage3
313762,stage3,2023-09-12 - 12:21,Rejected
313762,stage1,2023-10-03 - 11:42,stage2
313762,stage2,2023-10-05 - 11:44,stage3
313810,stage1,2023-10-13 - 22:21,stage2
313810,stage2,2023-11-08 - 12:47,Rejected
313837,stage1,2023-11-02 - 21:41,stage2
313837,stage2,2023-11-14 - 13:53,Rejected
313854,stage1,2023-10-24 - 08:32,stage2
313854,stage2,2023-10-11 - 14:19,Rejected
313866,stage1,2023-05-25 - 20:04,stage2
313866,stage2,2023-08-30 - 11:08,Rejected
313866,stage1,2023-09-24 - 17:02,stage2
313997,stage1,2023-07-26 - 11:35,stage2
313997,stage2,2023-08-17 - 10:26,Rejected
313997,stage1,2023-09-28 - 07:37,stage2
313997,stage2,2023-10-07 - 09:46,Rejected
313997,stage1,2023-08-26 - 21:04,stage2
313997,stage2,2023-10-25 - 17:33,Rejected
313997,stage1,2023-10-30 - 23:38,stage2
313997,stage2,2023-11-07 - 15:46,stage3
314117,stage1,2023-09-06 - 10:46,stage2
314117,stage2,2023-09-01 - 14:10,Rejected
314263,stage1,2023-08-22 - 17:00,stage2
314263,stage2,2023-08-28 - 08:06,stage3
314263,stage3,2023-09-21 - 14:30,Rejected
314263,stage1,2023-08-22 - 15:00,stage2
314263,stage2,2023-09-15 - 15:24,stage3
314263,stage3,2023-09-03 - 12:12,Rejected
314263,stage1,2023-09-20 - 13:29,stage2
314263,stage2,2023-09-23 - 13:32,stage3
314263,stage3,2023-10-06 - 16:45,stage4
314263,stage4,2023-08-25 - 15:03,stage5
314263,stage5,2023-10-23 - 18:31,stage6
314263,stage6,2023-11-15 - 11:54,stage7
314263,stage7,2023-10-09 - 15:17,stage8
314271,stage1,2023-10-20 - 09:59,stage2
314271,stage2,2023-08-25 - 10:03,stage3
314271,stage3,2023-08-29 - 10:07,Rejected
314271,stage1,2023-09-10 - 10:19,stage2
314271,stage2,2023-09-09 - 08:18,stage3
314271,stage3,2023-09-18 - 13:27,Rejected
314271,stage1,2023-09-03 - 10:12,stage2
314271,stage2,2023-10-04 - 10:43,stage3
314271,stage3,2023-10-23 - 15:31,Rejected
314271,stage1,2023-10-13 - 18:21,stage2
314271,stage2,2023-10-14 - 18:22,stage3
314271,stage3,2023-10-15 - 18:23,stage4
314271,stage4,2023-11-13 - 11:52,stage5
314271,stage5,2023-09-23 - 10:01,stage6
314271,stage6,2023-11-12 - 12:51,stage7
314271,stage7,2023-10-29 - 16:37,stage8
314288,stage1,2023-10-07 - 11:15,stage2
314288,stage2,2023-10-21 - 13:29,Rejected
314288,stage1,2023-11-19 - 09:58,stage2
314294,stage1,2023-06-16 - 01:26,stage2
314294,stage2,2023-09-02 - 12:11,stage3
314294,stage3,2023-10-06 - 15:45,Rejected
314294,stage1,2023-09-04 - 08:13,stage2
314294,stage2,2023-10-05 - 09:44,Rejected
314294,stage1,2023-10-06 - 11:45,stage2
314294,stage2,2023-10-09 - 11:48,stage3
314294,stage3,2023-09-12 - 14:21,Rejected
314294,stage1,2023-08-28 - 10:06,stage2
314294,stage2,2023-08-29 - 10:07,Rejected
314294,stage1,2023-09-15 - 10:24,stage2
314294,stage2,2023-09-16 - 10:25,stage3
314294,stage3,2023-10-02 - 12:41,Rejected
314294,stage1,2023-10-08 - 19:47,stage2
314294,stage2,2023-08-31 - 08:09,stage3
314294,stage3,2023-08-22 - 09:00,stage4
